time (s),T1 (K),P1 (Bar),V1 (m3)
1.800799999999867,1315.4650546930668,133154.02521533557,1.0
1.801199999999867,1315.282705679009,133135.56559603836,1.0
1.8015999999998669,1315.1004567160776,133117.11610698863,1.0
1.8019999999998668,1314.9183077549285,133098.6767431875,1.0
1.8023999999998668,1314.736258746253,133080.24749963998,1.0
1.8027999999998667,1314.5543096407464,133061.82837135126,1.0
1.8031999999998667,1314.3724603891226,133043.41935332847,1.0
1.8035999999998666,1314.190710942117,133025.02044058085,1.0
1.8039999999998666,1314.009061250481,133006.63162811936,1.0
1.8043999999998666,1313.8275112649878,132988.25291095715,1.0
1.8047999999998665,1313.6460609364276,132969.88428410905,1.0
1.8051999999998665,1313.4647102156127,132951.52574259217,1.0
1.8055999999998664,1313.2834590533716,132933.1772814253,1.0
1.8059999999998664,1313.102307400553,132914.83889562925,1.0
1.8063999999998663,1312.9212552080257,132896.5105802269,1.0
1.8067999999998663,1312.7403024266614,132878.1923302412,1.0
1.8071999999998662,1312.5594490073531,132859.88414069742,1.0
1.8075999999998662,1312.3786949010457,132841.5860066263,1.0
1.8079999999998662,1312.1980400586801,132823.297923058,1.0
1.8083999999998661,1312.0174844312198,132805.01988502505,1.0
1.808799999999866,1311.8370279696476,132786.75188756184,1.0
1.809199999999866,1311.6566706249632,132768.49392570456,1.0
1.809599999999866,1311.4764123481873,132750.24599449147,1.0
1.809999999999866,1311.2962530903585,132732.00808896267,1.0
1.810399999999866,1311.1161928025356,132713.78020416043,1.0
1.8107999999998659,1310.936231435798,132695.56233512893,1.0
1.8111999999998658,1310.75636894124,132677.35447691393,1.0
1.8115999999998658,1310.5766052699787,132659.15662456362,1.0
1.8119999999998657,1310.3969403731337,132640.9687731262,1.0
1.8123999999998657,1310.2173742018297,132622.7909176504,1.0
1.8127999999998656,1310.0379067072708,132604.62305319335,1.0
1.8131999999998656,1309.8585378406456,132586.46517481038,1.0
1.8135999999998655,1309.679267553166,132568.31727755925,1.0
1.8139999999998655,1309.5000957960606,132550.1793564993,1.0
1.8143999999998655,1309.321022520578,132532.05140669204,1.0
1.8147999999998654,1309.142047677986,132513.9334232009,1.0
1.8151999999998654,1308.9631712195696,132495.82540109102,1.0
1.8155999999998653,1308.784393096636,132477.72733542975,1.0
1.8159999999998653,1308.6057132605104,132459.63922128643,1.0
1.8163999999998652,1308.4271316625357,132441.56105373203,1.0
1.8167999999998652,1308.2486482540755,132423.4928278397,1.0
1.8171999999998651,1308.0702629864998,132405.43453868327,1.0
